1,Gonzaga,0.843,0.852,0.819,0.804,0.882,0.944
2,Wichita St,0.871,0.806,0.781,0.826,0.914,0.863
3,CS Bakersfld,0.884,0.864,1.048,0.888,0.881,0.910
4,Virginia,0.888,0.966,1.168,0.809,0.966,0.957
5,S Carolina,0.891,0.946,1.033,0.847,0.946,0.947
6,W Virginia,0.892,0.923,1.125,0.865,0.924,0.921
7,Central FL,0.893,0.921,1.151,0.820,0.967,1.011
8,Cincinnati,0.899,1.064,1.176,0.895,0.903,0.919
9,Illinois St,0.900,0.970,1.087,0.878,0.918,0.954
10,St Marys,0.911,0.940,1.082,0.922,0.898,0.960
11,California,0.913,1.039,1.059,0.857,0.983,0.950
12,NC Central,0.914,0.792,0.845,0.887,0.927,1.016
13,San Diego St,0.914,0.919,1.068,0.876,0.941,0.886
14,Florida,0.915,0.985,0.999,0.921,0.912,0.954
15,S Methodist,0.918,1.001,0.928,0.874,0.968,0.940
16,Wisconsin,0.919,0.968,1.163,0.838,0.998,0.967
17,Alabama,0.919,0.930,1.105,0.890,0.947,0.996
18,Oregon,0.923,0.993,1.176,0.873,0.972,0.971
19,Old Dominion,0.926,1.039,0.925,0.880,0.968,0.949
20,VCU,0.928,0.991,1.116,0.885,0.965,0.943
21,Minnesota,0.928,1.050,1.199,0.916,0.949,1.040
22,Louisville,0.930,1.107,1.101,0.910,0.952,0.903
23,Purdue,0.930,1.025,1.006,0.853,1.018,0.927
24,Kentucky,0.932,0.910,0.888,0.917,0.946,0.965
25,Villanova,0.935,0.894,0.837,0.899,0.963,0.925
26,Rhode Island,0.935,0.931,1.004,0.923,0.947,0.957
27,Grd Canyon,0.936,0.879,0.729,0.898,0.980,0.950
28,Dayton,0.936,1.095,1.082,0.887,0.983,0.930
29,LA Tech,0.936,1.023,1.272,0.880,0.990,0.985
30,Middle Tenn,0.937,0.929,0.963,0.909,0.957,0.977
31,Princeton,0.937,0.878,1.011,0.906,0.954,0.975
32,E Tenn St,0.939,1.002,1.129,0.962,0.922,1.042
33,Bucknell,0.940,0.875,0.906,0.897,0.979,0.998
34,UC Irvine,0.942,0.868,0.741,0.919,0.953,0.950
35,St Peters,0.943,1.012,1.139,0.938,0.947,0.971
36,Vermont,0.944,0.728,0.883,0.901,0.982,1.012
37,Rob Morris,0.945,0.973,1.039,0.942,0.947,0.996
38,Baylor,0.948,0.999,1.148,0.891,1.010,1.010
39,GA Tech,0.948,0.996,0.916,0.866,1.064,1.028
40,Arizona,0.949,1.061,1.134,0.927,0.970,0.944
41,Miami (FL),0.951,1.086,1.208,0.898,1.007,0.994
42,Northwestern,0.951,1.063,1.222,0.908,1.002,0.980
43,San Fransco,0.951,0.935,1.107,0.915,0.987,1.069
44,BYU,0.952,1.092,1.297,0.893,1.018,0.961
45,E Carolina,0.952,1.054,1.146,0.865,1.046,1.030
46,UC Davis,0.954,0.789,0.697,0.906,0.972,0.967
47,Monmouth,0.954,0.961,1.179,0.931,0.972,0.948
48,Houston,0.955,0.961,1.128,0.903,1.011,0.998
49,Valparaiso,0.955,1.033,0.786,0.906,1.009,0.897
50,Winthrop,0.955,0.926,0.857,0.940,0.968,1.018
51,N Carolina,0.958,1.068,1.223,0.884,1.028,0.976
52,Ohio,0.958,0.902,0.957,0.918,0.997,1.033
53,N Mex State,0.959,0.849,0.898,0.978,0.940,0.923
54,Col Charlestn,0.960,1.021,1.155,0.908,1.000,0.923
55,Providence,0.960,0.906,0.897,0.917,1.016,0.968
56,TN State,0.961,0.983,0.921,0.955,0.965,0.975
57,U Mass,0.963,0.958,1.062,0.911,1.026,1.018
58,Oakland,0.964,1.014,1.061,0.909,1.037,1.029
59,TX-Arlington,0.965,1.005,1.283,0.923,0.988,0.929
60,Florida St,0.965,0.972,1.064,0.912,1.034,1.009
61,Utah Val St,0.966,0.782,0.790,0.947,0.976,1.048
62,NC-Asheville,0.966,0.976,1.186,0.925,0.995,0.951
63,Kansas St,0.967,0.875,0.838,0.938,0.995,0.974
64,Navy,0.969,0.918,0.999,0.955,0.981,0.991
65,Connecticut,0.970,1.009,1.278,0.908,1.017,0.918
66,Rutgers,0.971,1.045,1.346,0.939,0.999,1.093
67,SE Louisiana,0.971,1.027,1.061,0.921,1.006,1.055
68,Colorado St,0.972,0.963,1.069,0.972,0.971,1.066
69,Utah,0.972,0.923,1.200,0.934,1.013,0.996
70,Alcorn State,0.973,0.812,0.817,0.908,1.007,1.037
71,Sam Hous St,0.973,0.998,1.128,0.934,1.000,1.020
72,Ste F Austin,0.974,0.956,1.137,0.901,1.019,0.917
73,Penn State,0.974,1.084,1.134,0.930,1.016,1.016
74,Morgan St,0.974,0.978,1.068,0.905,1.032,1.008
75,Gard-Webb,0.975,0.923,0.956,0.961,0.983,1.029
76,Fresno St,0.975,0.923,1.119,0.919,1.018,0.983
77,Harvard,0.975,1.075,1.006,0.940,1.005,0.977
78,Georgia,0.976,1.006,0.959,0.972,0.979,0.987
79,Mt St Marys,0.976,0.913,0.838,0.918,1.021,0.966
80,Texas State,0.976,0.893,0.938,0.949,0.993,0.981
81,Nevada,0.977,0.975,0.960,0.956,0.993,0.968
82,U Penn,0.978,1.034,0.988,0.988,0.970,1.027
83,New Orleans,0.978,0.931,0.964,0.915,1.019,1.052
84,Lehigh,0.978,1.018,1.129,0.955,0.994,1.047
85,Hawaii,0.979,1.080,1.036,0.962,1.005,0.913
86,Arkansas St,0.979,1.051,1.003,0.939,1.004,1.021
87,N Iowa,0.980,1.085,1.039,0.937,1.009,0.975
88,CS Fullerton,0.980,0.936,0.914,0.958,0.997,1.057
89,Maryland,0.980,1.020,1.103,0.959,1.006,0.965
90,Fordham,0.980,1.051,1.121,0.940,1.023,0.980
91,Creighton,0.981,0.944,1.033,0.965,0.995,0.987
92,Michigan St,0.981,0.920,1.005,0.950,1.011,0.929
93,Memphis,0.981,1.206,1.280,0.894,1.095,0.926
94,Wagner,0.982,1.122,1.141,1.007,0.958,0.937
95,TX-San Ant,0.982,1.004,1.325,0.892,1.036,1.134
96,Iowa State,0.982,1.037,1.041,0.908,1.044,1.020
97,Boston U,0.982,0.954,0.962,0.974,0.991,1.018
98,Duke,0.983,1.064,1.050,0.930,1.027,1.028
99,Kansas,0.983,1.030,1.088,0.961,1.002,0.943
100,Furman,0.983,1.139,0.994,0.921,1.024,1.008
101,Loyola-Chi,0.983,0.944,0.768,0.951,1.008,0.966
102,Texas,0.984,0.966,0.951,0.943,1.030,0.995
103,Holy Cross,0.985,1.013,0.866,0.928,1.031,1.040
104,Seton Hall,0.985,0.996,0.906,0.955,1.009,0.932
105,Miss State,0.986,0.953,1.109,0.959,1.016,1.009
106,N Illinois,0.986,1.070,1.033,1.006,0.966,0.976
107,Hampton,0.986,0.931,0.931,0.932,1.021,0.993
108,Texas A&M,0.987,0.959,1.113,0.924,1.054,0.931
109,Towson,0.987,0.983,1.046,0.966,1.005,1.006
110,Liberty,0.988,0.866,0.938,0.924,1.046,1.069
111,North Dakota,0.988,0.961,1.090,0.972,0.996,0.978
112,Texas Tech,0.988,0.950,0.989,0.967,1.019,1.011
113,UCLA,0.988,1.007,1.106,0.952,1.028,1.038
114,LIU-Brooklyn,0.989,0.993,0.967,0.976,0.996,1.025
115,Tennessee,0.989,0.995,0.870,0.976,1.004,1.030
116,Norfolk St,0.989,0.955,0.959,0.952,1.007,1.046
117,St Bonavent,0.990,0.906,1.023,1.016,0.966,1.021
118,Wyoming,0.990,1.048,1.087,0.972,1.008,1.056
119,Ohio State,0.990,1.080,0.990,0.940,1.063,0.968
120,TX El Paso,0.992,1.010,1.117,0.954,1.026,1.012
121,Georgia St,0.992,0.972,0.986,0.983,0.998,0.973
122,Vanderbilt,0.993,0.860,0.989,0.995,0.990,0.947
123,Kent State,0.993,0.964,1.051,0.993,0.992,1.042
124,Chattanooga,0.993,1.107,1.161,0.974,1.007,0.979
125,Notre Dame,0.994,1.036,1.142,0.933,1.063,1.060
126,Albany,0.994,0.915,0.933,0.976,1.007,0.954
127,Fairfield,0.994,0.943,1.050,0.970,1.012,1.023
128,Butler,0.994,1.071,0.969,0.992,0.997,0.985
129,Army,0.994,0.987,1.005,0.965,1.025,1.003
130,Seattle,0.995,1.047,0.900,0.931,1.058,0.994
131,WI-Grn Bay,0.995,1.027,0.964,0.992,0.998,1.016
132,Indiana St,0.995,0.967,1.075,1.010,0.985,0.961
133,Loyola-MD,0.997,0.950,0.919,0.942,1.041,1.067
134,Belmont,0.997,1.027,1.088,0.975,1.015,1.069
135,Georgetown,0.998,1.056,0.999,0.933,1.071,1.007
136,Buffalo,0.998,0.986,0.967,0.934,1.034,1.018
137,Oklahoma,0.998,1.070,1.193,0.960,1.035,0.970
138,Santa Clara,0.999,1.107,1.169,0.962,1.036,1.061
139,Rider,0.999,1.032,1.116,1.033,0.979,0.984
140,Missouri,0.999,1.154,1.251,0.919,1.088,1.030
141,Richmond,0.999,1.089,1.108,1.012,0.987,1.046
142,Geo Mason,0.999,1.011,1.049,0.990,1.008,1.036
143,Jackson St,1.000,0.957,0.958,0.936,1.038,0.932
144,Michigan,1.001,0.992,0.917,0.956,1.048,1.017
145,Mississippi,1.002,1.003,1.003,0.982,1.025,0.995
146,TX Southern,1.002,0.835,0.771,0.838,1.071,1.012
147,E Illinois,1.003,1.079,1.067,1.003,1.002,1.064
148,Illinois,1.003,1.083,1.214,0.969,1.040,1.044
149,Boise State,1.003,1.089,1.286,0.988,1.014,0.996
150,Evansville,1.003,0.972,1.118,0.945,1.055,0.925
151,Davidson,1.003,1.090,1.297,0.949,1.041,1.077
152,N Kentucky,1.004,0.969,0.841,1.027,0.990,1.071
153,UC Riverside,1.004,1.066,1.096,0.909,1.073,1.012
154,Ball State,1.005,1.005,1.040,0.994,1.013,0.978
155,Rice,1.005,1.093,1.133,0.985,1.024,1.125
156,South Dakota,1.006,0.974,1.039,0.946,1.043,1.087
157,Yale,1.006,1.059,1.217,0.982,1.025,0.933
158,Tulsa,1.007,1.055,1.194,0.984,1.027,0.981
159,Cleveland St,1.007,1.073,1.220,0.930,1.044,1.023
160,Indiana,1.007,1.095,1.134,0.930,1.099,0.989
161,Fla Gulf Cst,1.007,0.892,0.911,0.922,1.103,0.995
162,TX A&M-CC,1.007,0.978,1.009,0.969,1.033,0.992
163,UAB,1.007,1.058,1.045,0.935,1.072,0.991
164,USC,1.008,0.975,0.993,0.951,1.068,0.990
165,TX Christian,1.008,1.075,1.270,0.948,1.079,1.000
166,Elon,1.009,1.060,1.047,1.016,1.004,1.037
167,Temple,1.009,0.947,1.133,0.959,1.059,0.984
168,New Mexico,1.009,0.952,0.935,0.954,1.061,0.996
169,Arkansas,1.009,0.969,1.120,0.987,1.035,1.002
170,Syracuse,1.010,1.060,1.089,0.924,1.137,0.968
171,Stony Brook,1.010,0.976,0.960,0.983,1.039,0.949
172,Colorado,1.012,0.996,1.290,0.961,1.061,0.969
173,NC-Grnsboro,1.012,1.060,1.206,0.960,1.054,1.056
174,S Illinois,1.012,0.942,1.065,1.040,0.984,0.967
175,Stanford,1.012,1.234,1.277,0.988,1.034,1.031
176,Lamar,1.014,1.053,1.150,0.932,1.063,1.057
177,Loyola Mymt,1.014,0.960,1.177,0.975,1.062,1.063
178,Sacred Hrt,1.014,1.006,1.027,1.007,1.019,1.050
179,Utah State,1.014,1.004,1.199,0.953,1.069,1.044
180,Xavier,1.015,0.976,1.127,0.989,1.038,0.949
181,St Josephs,1.016,0.946,1.045,1.009,1.021,0.971
182,St Fran (PA),1.016,1.023,0.976,0.988,1.036,1.057
183,Wright State,1.016,0.996,1.102,0.997,1.032,0.965
184,AR Lit Rock,1.016,0.990,1.094,0.998,1.029,0.924
185,Troy,1.016,0.910,0.842,0.985,1.036,1.047
186,Bradley,1.016,0.965,1.029,0.969,1.052,1.022
