1,Gonzaga,55.6%,55.7%,52.8%,55.5%,55.6%,52.7%
2,N Carolina,54.4%,55.9%,52.8%,56.4%,52.5%,55.8%
3,UCLA,54.4%,47.1%,46.5%,56.2%,52.5%,50.5%
4,Kentucky,54.2%,52.7%,52.9%,56.0%,52.3%,54.2%
5,Florida St,53.8%,50.4%,49.1%,56.9%,49.7%,51.3%
6,S Methodist,53.5%,54.2%,52.3%,55.8%,50.8%,54.9%
7,NC-Wilmgton,53.4%,60.4%,53.5%,55.0%,52.5%,51.2%
8,Wichita St,53.4%,53.0%,53.6%,56.2%,50.6%,50.0%
9,Duke,53.1%,54.9%,54.9%,55.3%,51.3%,53.7%
10,Wake Forest,52.9%,57.9%,54.9%,53.6%,52.4%,48.9%
11,Kansas,52.9%,50.0%,47.8%,55.2%,50.9%,53.0%
12,Oklahoma St,52.9%,50.1%,51.6%,54.9%,51.0%,47.0%
13,Villanova,52.9%,53.7%,46.9%,53.0%,52.8%,52.1%
14,W Virginia,52.8%,44.1%,49.0%,55.7%,49.4%,53.5%
15,Vermont,52.8%,54.6%,44.5%,53.9%,51.7%,50.5%
16,Arizona,52.7%,56.7%,57.0%,53.9%,51.6%,53.4%
17,St Marys,52.6%,49.2%,35.5%,54.4%,50.5%,53.1%
18,Fla Gulf Cst,52.6%,56.1%,55.9%,52.0%,53.2%,51.2%
19,Louisville,52.3%,52.4%,53.2%,54.6%,49.6%,53.3%
20,Middle Tenn,52.2%,56.7%,55.8%,50.7%,53.4%,48.3%
21,Utah,52.2%,51.0%,52.0%,53.6%,50.7%,51.6%
22,N Mex State,52.1%,51.9%,52.5%,56.0%,48.3%,50.2%
23,Arkansas,52.1%,45.7%,43.6%,54.6%,49.2%,50.5%
24,Butler,52.1%,50.0%,43.5%,55.5%,48.4%,52.9%
25,Cincinnati,52.0%,54.6%,44.9%,56.7%,46.3%,50.0%
26,LA Lafayette,52.0%,52.1%,48.9%,54.1%,50.2%,51.8%
27,Oregon,51.8%,53.8%,54.8%,53.5%,50.1%,52.9%
28,Michigan,51.6%,51.6%,50.9%,53.0%,50.1%,49.7%
29,Nevada,51.5%,53.2%,52.1%,53.0%,50.5%,48.4%
30,E Tenn St,51.5%,52.2%,56.5%,54.9%,49.1%,49.3%
31,Towson,51.5%,52.9%,47.5%,53.6%,49.7%,50.7%
32,VA Tech,51.4%,53.9%,43.7%,52.8%,49.8%,50.9%
33,Rhode Island,51.3%,54.0%,51.6%,52.0%,50.7%,49.0%
34,Marquette,51.3%,52.0%,45.0%,52.9%,49.4%,49.8%
35,Texas Tech,51.3%,42.0%,39.4%,55.6%,44.9%,50.4%
36,Indiana,51.2%,52.8%,42.8%,54.1%,47.8%,53.5%
37,Baylor,51.2%,51.4%,49.0%,51.2%,51.1%,53.1%
38,Creighton,51.1%,44.2%,38.8%,53.2%,49.3%,51.3%
39,Albany,51.1%,50.6%,44.7%,54.0%,48.9%,52.1%
40,Wm & Mary,51.1%,54.0%,57.0%,57.3%,46.8%,51.1%
41,Purdue,51.1%,51.0%,44.0%,52.6%,49.4%,52.0%
42,Weber State,51.0%,56.6%,52.4%,52.7%,50.1%,49.9%
43,USC,51.0%,51.5%,45.3%,51.8%,50.3%,50.8%
44,Florida,51.0%,46.6%,40.8%,51.5%,50.7%,49.6%
45,Clemson,50.9%,51.6%,47.3%,54.5%,47.3%,49.4%
46,E Washingtn,50.9%,47.6%,49.2%,54.4%,48.0%,51.1%
47,Xavier,50.9%,49.3%,48.2%,53.9%,48.3%,51.8%
48,Toledo,50.8%,46.1%,43.2%,51.7%,49.9%,50.1%
49,Hofstra,50.8%,51.3%,49.5%,50.4%,51.0%,50.6%
