1,UCLA,1.189,1.238,1.109,1.222,1.159,1.048
2,St Marys,1.154,0.970,0.947,1.193,1.115,1.155
3,Villanova,1.153,1.069,1.028,1.160,1.148,1.134
4,NC-Wilmgton,1.152,1.211,1.068,1.193,1.129,1.072
5,Oklahoma St,1.147,1.186,1.328,1.183,1.113,0.990
6,Michigan,1.145,1.167,1.031,1.176,1.117,1.104
7,S Methodist,1.142,1.144,1.103,1.200,1.079,1.146
8,Gonzaga,1.141,1.024,0.863,1.167,1.122,1.126
9,Duke,1.136,1.144,1.052,1.189,1.094,1.151
10,Marquette,1.134,1.077,0.982,1.165,1.098,1.027
11,Kansas,1.133,1.179,0.886,1.175,1.103,1.120
12,N Carolina,1.130,0.984,0.942,1.172,1.101,1.153
13,Wake Forest,1.130,1.209,1.203,1.144,1.119,1.002
14,Wichita St,1.130,1.003,0.948,1.195,1.071,1.055
15,Arizona,1.113,1.196,1.147,1.133,1.099,1.103
16,Kentucky,1.113,1.076,0.971,1.162,1.073,1.127
17,Notre Dame,1.113,1.003,0.983,1.156,1.068,1.128
18,Oregon,1.112,1.044,0.999,1.156,1.078,1.103
19,Florida St,1.109,0.993,0.947,1.186,1.021,1.064
20,Purdue,1.107,1.075,0.929,1.125,1.089,1.108
21,Butler,1.106,1.077,1.091,1.180,1.042,1.109
22,VA Tech,1.106,1.132,1.111,1.123,1.087,1.034
23,Iowa State,1.105,1.129,1.050,1.125,1.090,1.112
24,Cincinnati,1.103,1.080,1.051,1.196,1.002,1.064
25,Vermont,1.101,1.079,1.049,1.138,1.070,1.057
26,Nevada,1.100,1.082,1.057,1.131,1.080,0.982
27,Akron,1.098,1.001,0.875,1.117,1.086,1.076
28,Creighton,1.098,0.976,0.975,1.125,1.073,1.086
29,Indiana,1.098,1.039,0.897,1.160,1.028,1.169
30,Louisville,1.098,1.112,1.059,1.152,1.043,1.108
31,W Virginia,1.097,1.046,0.853,1.161,1.032,1.084
32,Middle Tenn,1.096,1.086,0.952,1.065,1.118,1.025
33,IPFW,1.095,1.013,0.844,1.142,1.053,1.075
34,Wm & Mary,1.093,1.134,1.240,1.233,0.996,1.088
35,Weber State,1.092,1.060,1.025,1.129,1.073,1.049
36,E Washingtn,1.091,1.146,1.159,1.149,1.044,1.117
37,USC,1.090,1.166,1.165,1.116,1.066,1.068
38,Syracuse,1.090,1.110,1.095,1.143,1.002,1.040
39,Houston,1.089,1.029,1.054,1.104,1.074,1.115
40,Fla Gulf Cst,1.088,1.064,0.947,1.069,1.109,1.036
41,Hofstra,1.088,1.119,1.118,1.095,1.083,1.074
42,Central Mich,1.088,1.066,1.219,1.122,1.062,1.080
43,N Mex State,1.087,1.049,0.992,1.170,1.010,1.027
44,Utah,1.086,1.031,0.912,1.111,1.058,1.093
45,Belmont,1.084,0.987,0.812,1.144,1.042,1.114
46,Wisconsin,1.081,1.139,1.081,1.131,1.040,1.027
47,Arkansas,1.081,0.928,0.863,1.149,1.012,1.049
48,Texas Tech,1.080,0.887,0.843,1.169,0.950,1.042
49,Iona,1.080,1.137,1.080,1.088,1.076,1.072
50,LA Lafayette,1.076,1.068,0.985,1.121,1.037,1.067
51,Maryland BC,1.076,1.042,0.792,1.089,1.062,0.991
52,Baylor,1.076,1.058,0.712,1.074,1.077,1.102
53,Florida,1.074,1.043,0.983,1.120,1.057,1.031
54,Clemson,1.074,0.997,0.946,1.143,1.000,1.061
55,Lipscomb,1.072,1.170,1.073,1.119,1.035,1.014
56,E Tenn St,1.072,1.049,0.912,1.161,1.012,1.053
57,Wofford,1.071,1.094,1.027,1.174,1.014,1.046
58,Marshall,1.071,1.055,0.963,1.114,1.036,1.077
59,Murray St,1.071,1.025,1.010,1.147,1.025,1.046
60,Denver,1.070,1.020,0.995,1.090,1.054,1.027
61,Oakland,1.069,1.077,1.173,1.038,1.105,1.133
62,Toledo,1.069,1.053,1.070,1.080,1.060,1.076
63,LA Tech,1.069,1.137,1.053,1.122,1.019,1.041
64,Canisius,1.067,1.047,1.096,1.044,1.084,1.056
65,Rice,1.067,1.018,1.028,1.054,1.080,1.041
66,S Dakota St,1.066,0.945,0.673,1.104,1.044,1.080
67,Princeton,1.066,1.043,0.944,1.135,1.030,1.099
68,Xavier,1.065,1.086,0.801,1.127,1.021,1.085
69,NC-Asheville,1.065,1.062,1.031,1.123,1.026,1.010
70,Troy,1.063,0.953,0.931,1.080,1.053,0.947
71,TX Christian,1.063,1.170,1.192,1.093,1.030,0.937
72,Albany,1.062,0.919,0.909,1.103,1.028,1.076
73,Bucknell,1.062,1.057,1.041,1.058,1.064,1.049
74,TX-Arlington,1.061,1.121,1.049,1.119,1.025,1.041
75,Rhode Island,1.061,1.116,1.094,1.067,1.056,1.025
76,Colorado,1.060,1.105,1.104,1.091,1.032,1.029
77,Dayton,1.059,0.999,0.883,1.090,1.031,1.023
78,Winthrop,1.059,0.980,0.889,1.045,1.070,1.075
79,Neb Omaha,1.059,1.094,1.083,1.129,1.020,1.073
80,Monmouth,1.058,1.079,1.046,1.081,1.040,1.042
81,Samford,1.058,0.996,0.909,1.113,1.019,1.007
82,Iowa,1.058,1.097,1.153,1.119,0.967,1.090
83,Montana,1.058,1.198,1.120,1.092,1.035,1.049
84,Arizona St,1.057,1.010,0.852,1.091,1.024,1.017
85,Furman,1.057,1.014,0.770,1.078,1.045,1.028
86,Mercer,1.056,1.112,0.964,1.070,1.045,1.040
87,NC-Grnsboro,1.055,1.080,1.033,1.031,1.074,1.017
88,Virginia,1.054,0.914,0.630,1.074,1.036,1.131
89,La Salle,1.053,0.926,0.996,1.095,1.012,0.927
90,St Bonavent,1.051,0.934,0.871,1.087,1.019,1.086
91,Montana St,1.049,1.070,1.068,1.094,1.005,1.054
92,TN Martin,1.049,1.009,0.863,1.128,0.990,1.031
93,Portland St,1.049,0.978,0.892,1.057,1.044,1.018
94,Maryland,1.048,0.988,0.953,1.036,1.063,1.087
95,North Dakota,1.047,1.067,1.087,1.103,1.019,0.995
