1,Villanova,0.665,1,326,1
2,Arizona,0.655,1,211,2
3,Kansas,0.653,1,60,3
4,Kentucky,0.652,1,41,4
5,N Carolina,0.646,1,59,5
6,Duke,0.646,6,153,6
7,Louisville,0.645,3,209,7
8,Gonzaga,0.644,1,75,8
9,Oregon,0.643,4,214,9
10,Florida,0.639,2,265,10
11,Baylor,0.638,1,210,11
12,S Methodist,0.631,12,119,15
13,Cincinnati,0.631,1,105,12
14,Florida St,0.631,4,267,13
15,Butler,0.625,3,218,14
16,UCLA,0.624,12,237,16
17,St Marys,0.621,3,124,17
18,Virginia,0.617,3,60,18
19,Purdue,0.613,15,329,20
20,Minnesota,0.611,5,210,21
21,Iowa State,0.610,13,146,22
22,VCU,0.610,12,227,19
23,Notre Dame,0.609,17,212,23
24,W Virginia,0.605,10,327,24
25,Michigan,0.604,22,91,30
26,Creighton,0.603,1,219,26
27,NC-Wilmgton,0.602,4,275,27
28,Arkansas,0.602,12,109,25
29,Nevada,0.601,20,259,29
30,Dayton,0.601,4,155,28
31,Rhode Island,0.599,28,115,37
32,Wichita St,0.598,27,158,31
33,Illinois St,0.597,26,260,33
34,Maryland,0.596,14,113,34
35,Middle Tenn,0.595,3,241,35
36,Wisconsin,0.593,17,230,32
37,Xavier,0.593,1,101,36
38,Vanderbilt,0.591,33,249,38
39,Oklahoma St,0.588,27,248,39
40,USC,0.588,12,213,41
41,Wake Forest,0.588,12,274,40
42,Miami (FL),0.587,6,341,42
43,S Carolina,0.587,9,97,43
44,Seton Hall,0.586,12,147,44
45,TX-Arlington,0.586,16,165,45
46,Vermont,0.584,43,325,46
47,Princeton,0.583,46,311,50
48,VA Tech,0.582,3,163,47
49,Monmouth,0.579,39,148,48
50,Michigan St,0.579,7,223,51
51,Northwestern,0.578,16,342,49
52,Georgia,0.575,25,133,52
53,California,0.571,20,191,53
54,E Tenn St,0.571,20,185,54
55,Providence,0.570,23,308,55
56,Kansas St,0.570,37,216,56
57,Col Charlestn,0.569,29,197,58
58,Houston,0.569,22,316,57
59,Akron,0.568,35,297,59
60,N Mex State,0.568,46,299,60
61,Belmont,0.566,52,282,62
62,Marquette,0.565,35,234,61
63,Bucknell,0.564,61,306,63
64,Illinois,0.562,25,224,64
65,BYU,0.560,63,342,66
66,Colorado St,0.560,21,336,65
67,TX Christian,0.557,4,203,67
68,Winthrop,0.556,12,287,68
69,Clemson,0.555,2,125,69
70,Central FL,0.555,2,235,70
71,Valparaiso,0.554,31,342,72
72,Boise State,0.553,55,276,74
73,NC-Asheville,0.553,35,277,71
74,Pittsburgh,0.553,14,104,73
75,CS Bakersfld,0.552,53,263,77
76,Fresno St,0.552,28,290,76
77,Mississippi,0.552,1,82,75
78,Alabama,0.550,53,204,78
79,Indiana,0.549,4,139,79
