1:Villanova:Mt St Marys:
2:Wisconsin:VA Tech:
3:Virginia:NC-Wilmgton:
4:Florida:E Tenn St:
5:S Methodist:USC:
6:Baylor:New Mexico:
7:S Carolina:Marquette:
8:Duke:Troy:
9:Kansas:UC Davis:
10:Miami (FL):Michigan St:
11:Iowa State:Nevada:
12:Purdue:Vermont:
13:Creighton:Rhode Island:
14:Oregon:Iona:
15:Michigan:Oklahoma St:
16:Louisville:Jksnville St:
17:Gonzaga:S Dakota St:
18:Northwestern:Vanderbilt:
19:Notre Dame:Princeton:
20:W Virginia:Bucknell:
21:Maryland:Xavier:
22:Florida St:Fla Gulf Cst:
23:St Marys:VCU:
24:Arizona:North Dakota:
25:N Carolina:TX Southern:
26:Arkansas:Seton Hall:
27:Minnesota:Middle Tenn:
28:Butler:Winthrop:
29:Cincinnati:Kansas St:
30:UCLA:Kent State:
31:Dayton:Wichita St:
32:Kentucky:N Kentucky:
