1,Gonzaga,+23.4,+19.7,+18.0,+26.9,+20.2,+12.7
2,Wichita St,+19.3,+20.3,+20.0,+27.2,+11.9,+13.1
3,W Virginia,+15.6,+1.7,-6.0,+22.8,+7.6,+11.8
4,St Marys,+15.5,+12.0,-18.0,+16.7,+14.1,+12.4
5,UCLA,+15.0,0.0,-11.0,+20.8,+8.9,+0.8
6,Villanova,+14.9,+19.0,+14.0,+17.6,+12.7,+14.4
7,S Methodist,+14.7,+10.0,+15.0,+21.4,+7.1,+13.9
8,Kentucky,+14.4,+11.0,+17.0,+18.9,+9.8,+11.4
9,Cincinnati,+13.6,+4.7,-15.0,+21.1,+5.3,+9.9
10,N Carolina,+13.4,+7.3,-10.0,+21.5,+5.8,+12.8
11,Oregon,+13.3,+9.3,-3.0,+20.4,+6.6,+9.4
12,Purdue,+13.0,+3.7,-4.0,+19.8,+5.3,+12.7
13,Florida,+11.7,+0.3,-10.0,+14.3,+10.5,+5.5
14,Louisville,+11.7,-1.3,-4.0,+17.1,+5.6,+13.8
15,Florida St,+11.2,+3.7,-4.0,+21.0,-0.6,+4.0
16,Virginia,+11.0,+8.0,-13.0,+16.4,+5.6,+10.9
17,Middle Tenn,+10.9,+17.7,+11.0,+10.6,+11.1,+3.4
18,Duke,+10.8,+6.7,+6.0,+18.5,+4.4,+8.6
19,Arizona,+10.8,+9.3,+3.0,+14.1,+7.9,+11.6
20,Vermont,+10.5,+27.0,+3.0,+15.3,+6.1,+3.2
21,Wisconsin,+10.5,+7.7,-15.0,+19.5,+1.6,+4.0
22,Kansas,+10.3,+4.0,-3.0,+15.8,+5.5,+12.6
23,E Tenn St,+10.2,+7.0,+5.0,+14.8,+7.0,+0.8
24,LA Tech,+9.5,+8.0,-16.0,+17.5,+2.1,+4.3
25,N Mex State,+9.4,+14.0,+10.0,+13.6,+5.1,+7.1
26,NC Central,+9.4,+23.7,+8.0,+14.8,+6.7,-3.0
27,Michigan,+9.3,+8.7,+15.0,+14.3,+3.9,+5.8
28,Dayton,+9.2,-1.7,-6.0,+14.3,+4.1,+6.6
29,Houston,+9.2,-1.7,-9.0,+13.8,+4.3,+8.1
30,NC-Wilmgton,+9.0,+9.7,+9.0,+14.3,+5.8,+5.9
31,Nevada,+9.0,+11.0,+8.0,+12.7,+6.5,+1.1
32,Creighton,+8.9,+0.3,-14.0,+11.8,+6.2,+7.3
33,Iowa State,+8.9,+12.0,+6.0,+15.8,+3.1,+6.8
34,Notre Dame,+8.8,+3.7,-6.0,+15.7,+1.1,+4.5
35,Bucknell,+8.8,+12.3,+16.0,+11.8,+6.1,+3.8
36,Princeton,+8.8,+19.0,+12.0,+14.9,+5.4,+8.9
37,Utah,+8.6,+11.7,-3.0,+13.6,+3.2,+6.7
38,Baylor,+8.6,+4.7,-6.0,+12.2,+4.7,+6.4
39,Rhode Island,+8.5,+14.0,+7.0,+10.1,+7.0,+4.6
40,VCU,+8.3,+4.7,-7.0,+16.2,+1.2,+9.5
41,Winthrop,+8.1,+11.3,+17.0,+7.7,+8.4,+4.3
42,Monmouth,+8.0,+9.0,-4.0,+11.9,+5.2,+7.1
43,Butler,+7.9,-0.7,-5.0,+12.9,+2.6,+8.9
44,Oakland,+7.7,+7.7,-1.0,+10.2,+4.8,+7.9
45,Illinois St,+7.7,+1.3,-20.0,+9.8,+6.0,+0.8
46,Marquette,+7.5,+4.3,-6.0,+14.9,-1.4,+2.1
47,Oklahoma St,+7.2,-5.7,-9.0,+12.3,+2.5,-0.6
48,NC-Asheville,+7.1,+3.7,-2.0,+14.6,+2.2,+4.3
49,BYU,+7.0,-5.0,-31.0,+12.4,+1.4,+10.0
50,Indiana,+7.0,+5.3,-10.0,+16.7,-4.6,+12.7
51,S Carolina,+6.9,-3.3,-11.0,+12.4,+0.4,+6.2
52,Central FL,+6.6,+7.3,-11.0,+12.9,+0.2,-2.8
53,Belmont,+6.6,+5.0,-6.0,+11.8,+2.4,+3.3
54,TX-Arlington,+6.5,0.0,-21.0,+15.3,+1.8,+8.4
55,Valparaiso,+6.5,+1.3,-2.0,+11.4,+1.3,+10.7
56,Ohio,+6.5,+4.3,-2.0,+11.0,+1.9,+3.1
57,Texas Tech,+6.2,-4.0,-9.0,+13.7,-4.7,+2.2
58,Minnesota,+6.2,-6.3,-7.0,+10.4,-0.3,-6.0
59,Fla Gulf Cst,+6.1,+19.3,+16.0,+10.2,+1.4,+3.0
60,Northwestern,+6.0,+0.7,-28.0,+11.0,+0.4,+6.0
61,Arkansas,+5.8,-0.7,-17.0,+11.9,-1.1,+3.5
62,Miami (FL),+5.7,-9.7,-25.0,+11.6,-0.2,+7.8
63,USC,+5.5,+6.3,-2.0,+11.9,-1.3,+5.9
64,Akron,+5.5,+5.3,-5.0,+9.7,+2.4,+6.8
65,San Diego St,+5.4,+7.0,-8.0,+10.2,+2.2,+7.6
66,CS Bakersfld,+5.4,-5.0,-10.0,+9.1,+3.3,+7.7
67,Furman,+5.4,-2.3,-4.0,+10.8,+1.8,+1.4
68,Syracuse,+5.3,+1.3,-5.0,+15.3,-9.3,+4.9
69,California,+5.1,0.0,-8.0,+12.1,-3.2,+7.5
70,Maryland,+5.0,+5.0,-8.0,+5.4,+4.5,+8.4
71,Rice,+4.9,-2.0,-10.0,+5.6,+4.2,-6.1
72,VA Tech,+4.8,-0.7,-6.0,+11.3,-2.5,+2.4
73,Lehigh,+4.8,-2.7,-16.0,+9.5,+1.4,+0.8
74,Albany,+4.8,+11.0,-3.0,+9.4,+1.4,+8.5
75,Kansas St,+4.8,+6.0,-1.0,+7.9,+1.8,+2.5
76,Wake Forest,+4.8,+3.3,-9.0,+12.4,-1.2,-5.0
77,St Peters,+4.7,+0.7,-8.0,+5.0,+4.5,-0.7
78,Harvard,+4.5,-3.0,-2.0,+8.2,+1.4,-0.7
79,Col Charlestn,+4.5,+1.3,-9.0,+8.9,+1.3,+2.3
80,St Bonavent,+4.5,+2.0,-11.0,+5.2,+3.8,+4.7
81,Colorado St,+4.4,+8.7,-8.0,+7.1,+1.8,+0.8
82,North Dakota,+4.4,+10.7,+4.0,+9.6,+1.5,+1.2
83,Alabama,+4.2,+8.7,-5.0,+9.1,-0.5,-1.5
84,Loyola-Chi,+4.1,+2.7,-5.0,+7.4,+1.2,-1.8
85,Iona,+4.1,+9.0,+1.0,+4.4,+4.0,+5.4
86,IPFW,+4.1,-0.3,-4.0,+11.1,-1.9,+1.7
87,Grd Canyon,+4.1,+12.0,+6.0,+9.8,-3.0,+7.0
88,San Fransco,+3.8,+0.7,-7.0,+8.1,-0.2,-2.2
89,Providence,+3.6,+2.7,-12.0,+9.5,-3.9,+3.5
90,Troy,+3.6,+12.3,+6.0,+6.8,+1.6,-7.1
91,Clemson,+3.5,+7.0,-7.0,+11.2,-4.2,+5.2
92,UC Irvine,+3.4,+3.7,-3.0,+11.4,-0.6,+4.6
93,Colorado,+3.4,+1.3,-14.0,+9.1,-2.4,+4.4
94,Michigan St,+3.4,+6.3,-5.0,+11.3,-4.1,+15.7
95,Boise State,+3.3,+0.7,-19.0,+5.7,+1.4,+4.1
96,Old Dominion,+3.3,-6.0,-1.0,+6.9,-0.1,+7.0
97,Memphis,+3.3,-16.3,-30.0,+11.0,-6.6,+6.3
98,Xavier,+3.3,+4.3,-3.0,+9.6,-2.3,+10.1
99,Chattanooga,+3.2,-10.3,-12.0,+7.5,+0.1,+6.7
100,Weber State,+3.2,+8.0,-4.0,+7.3,+0.8,+5.3
101,TX Christian,+3.2,+0.3,-21.0,+9.9,-4.9,-4.5
102,Seton Hall,+3.1,+3.3,-2.0,+9.2,-1.6,+6.4
103,Towson,+3.1,+5.3,-8.0,+7.8,-0.5,+1.5
104,Vanderbilt,+3.1,+7.0,-14.0,+8.2,-1.4,+8.5
105,Kent State,+3.1,+3.3,+5.0,+7.6,-0.5,-0.1
106,NC-Grnsboro,+3.0,+2.7,-5.0,+4.9,+1.5,-2.8
107,Ohio State,+3.0,-4.0,-9.0,+9.1,-5.8,+2.3
108,N Kentucky,+3.0,+7.0,+6.0,+6.4,+1.0,-6.2
109,Arkansas St,+3.0,-5.0,-3.0,+10.0,-1.5,-5.1
110,Lipscomb,+2.9,+12.0,-6.0,+8.6,-1.5,-5.0
111,LA Lafayette,+2.6,-0.3,-10.0,+5.7,+0.1,+4.6
112,Gard-Webb,+2.6,+11.7,-3.0,+3.3,+2.3,-3.0
113,Richmond,+2.6,+1.0,-10.0,+4.4,+0.8,+2.7
114,TX Southern,+2.6,+7.7,+3.0,+20.7,-5.0,+2.3
115,Ball State,+2.4,+1.3,-4.0,+3.8,+1.2,+3.1
116,Georgia St,+2.4,+1.3,-11.0,+6.6,-0.3,-0.6
117,Yale,+2.4,-2.0,-12.0,+7.0,-1.1,+10.1
118,Texas A&M,+2.4,-5.3,-25.0,+8.8,-4.4,+10.0
119,Fresno St,+2.4,+2.3,-11.0,+9.5,-3.1,+3.0
120,Iowa,+2.3,-3.0,-22.0,+10.4,-8.1,+8.3
